,title,watch_date,intro,url,rating
0,世界奇妙物语 2022夏季特别篇 / 世にも奇妙な物語'22夏の特別編,2022-07-12,2022-06-18(日本) / 有田哲平 / 东根作寿英 / 绀野真昼 / 山本美月 / 生田绘梨花 / 伊礼姬奈 / 稻叶友 / 神尾佑 / 森口瑶子 / 绫田俊树 / 樋口日奈 / 小岛藤子 / 北山宏光 / 滨津隆之 / 日本 / 植田泰史 / 城宝秀则 / 106分钟 / 世界奇妙物语 2022夏季特别篇 / 剧情 / 科幻 / 恐怖 / 相馬光 / 天本絵美 / 荒木哉仁 / バイク川崎バイク / 日语,https://movie.douban.com/subject/35914301/,4
1,"安娜 / 안나
                             / 第二个安娜 / 두 번째 안나",2022-07-02,2022-06-24(韩国) / 裴秀智 / 郑恩彩 / 金俊翰 / 朴艺荣 / 禹贤 / 韩国 / 李祖英 / 60分钟 / 安娜 / 剧情 / 李祖英 Zoo-Young Lee / 韩语,https://movie.douban.com/subject/35524387/,4
2,"套装 / The Outfit
                             / 誓不低头",2022-07-01,2022-02-14(柏林电影节) / 2022-03-18(美国) / 马克·里朗斯 / 佐伊·达奇 / 迪伦·奥布莱恩 / 强尼·弗林 / 妮基·阿姆卡-伯德 / 西蒙·拉塞尔·比尔 / 乔纳森·麦克莱恩 / 阿伦·梅迪扎德 / 美国 / 格拉汉姆·摩尔 / 106分钟 / 套装 / 剧情 / 犯罪 / 惊悚 / 乔纳森·麦克莱恩 Johnathan McClain / 格拉汉姆·摩尔 Graham Moore / 英语,https://movie.douban.com/subject/35372415/,4
3,"多伦多来的男人 / The Man from Toronto
                             / 来自多伦多的男人",2022-06-30,2022-06-24(美国网络) / 凯文·哈特 / 伍迪·哈里森 / 凯莉·库柯 / 贾思敏·马修斯 / 艾伦·巴金 / 莱拉·罗兰 / 凯特·德拉蒙德 / 罗布·阿切尔 / 皮尔森·福德 / 山下智久 / 罗尼·罗 / 杰森·麦克唐纳 / 简卡洛斯·卡纳拉 / 达林·贝克 / 费利佩·奥凯 / James Collins / 格里莎·帕斯特纳克 / 特洛伊·布德罗 / 辛西娅·罗恩 / 吉姆·查德 / 梅兰妮·利伯德 / 美国 / 帕特里克·休斯 / 110分钟 / 多伦多来的男人 / 喜剧 / 动作 / 惊悚 / 罗比·福克斯 Robbie Fox / 克里斯·布雷姆纳 Chris Bremner / 杰森·布鲁门塔尔 Jason Blumenthal / 英语,https://movie.douban.com/subject/34959527/,4
4,"纸钞屋(韩版) / 종이의 집
                             / 纸钞屋：共同经济区 / 韩版纸钞屋",2022-06-28,2022-06-24(韩国) / 刘智泰 / 金允珍 / 朴海秀 / 全钟瑞 / 李元宗 / 金智勋 / 张允柱 / 李玹雨 / 金智训 / 李奎浩 / 金成伍 / 朴明勋 / 李主傧 / 朴柾佑 / 韩国 / 金弘善 / 75分钟 / 纸钞屋(韩版) / 剧情 / 动作 / 犯罪 / 悬疑 / 惊悚 / 柳勇在 Yoo Yong Jae / 韩语,https://movie.douban.com/subject/35273085/,3
5,"社内相亲 / 사내 맞선
                             / 我和总裁相了个亲 / A Business Proposal",2022-06-23,2022-02-28(韩国) / 安孝燮 / 金世正 / 金旻奎 / 薛仁雅 / 李德华  / 崔秉灿 / 郑英珠 / 金光奎 / 宋元锡 / 裴优熙 / 金贤淑 / 林基雄 / 尹相贞 / 徐惠媛 / 李基英 / 闵孝元 / 崔京敏 / 李秀贞 / 金英雅 / 韩知晓 / 朴载俊 / 黄宝罗 / 金正英 / 裴琉璃 / 韩国 / 朴善浩 / 60分钟 / 社内相亲 / 喜剧 / 爱情 / 韩雪熙 Seol Hee Han / 韩语,https://movie.douban.com/subject/35400242/,3
6,"我们的蓝调 / 우리들의 블루스
                             / 我们的布鲁斯 / 我们的蓝调时光",2022-06-23,2022-04-09(韩国) / 李秉宪 / 申敏儿 / 车胜元 / 金宇彬 / 韩智敏 / 李姃垠 / 严正化 / 金惠子 / 高斗心 / 朴智焕 / 崔英俊 / 卢润序 / 安泰琳 / 柳海准 / 裴贤圣 / 曹惠静 / 金光奎 / 白承道 / 金雅颂 / 金宰元 / 申达琪 / 洪贞敏 / 延诗宇 / 姜仁锡 / 郑艺绿 / 南规熙 / 尹炳熙 / 金永敏 / 郑恩惠 / 朴智雅 / 金河彦 / 朴相元 / 李韶星  / 奇昭侑 / 金知星 / 金政焕 / 闵智雅 / 崔秉默 / 崔承京 / 杨姬瓊 / 郑成日 / 玄奉植 / 韩国 / 金奎泰 / 60分钟 / 我们的蓝调 / 剧情 / 卢熙京 Hee-Kyung Noh / 韩语,https://movie.douban.com/subject/35441504/,3
7,"还魂 / 환혼
                             / Alchemy of Souls / Return",2022-06-22,2022-06-18(韩国) / 李宰旭 / 郑素敏 / 黄旼炫 / 申承浩 / 刘俊相 / 吴娜拉 / 刘仁秀 / 崔乂园 / 赵在允 / 朴恩惠 / 李度京 / 洪瑞熙 / 任哲秀 / 姜京宪 / 朴素珍 / 高允贞 / 李河汩 / 郑智安 / 金永今 / 崔志浩 / 周锡泰 / 崔光一 / 朱相昱 / 朴炳垠 / 沈昭英 / 禹贤 / 具裕珍 / 裴康熙 / 延吾 / 车容学 / 韩国 / 朴俊和 / 还魂 / 奇幻 / 古装 / 洪静恩 Jeong-eun Hong / 洪美兰 Mi-ran Hong / 韩语,https://movie.douban.com/subject/35335941/,5
8,"现在开始作秀时间 / 지금부터 쇼타임
                             / 现在开始是Showtime！/ Showtime Begins!",2022-06-19,2022-04-23(韩国) / 朴海镇 / 徐东贤 / 韩霄瑗 / 秦基周 / 韩国 / 李亨民 / 现在开始作秀时间 / 喜剧 / 爱情 / 奇幻 / 河允雅 Ha Yoon-Ah / 韩语,https://movie.douban.com/subject/35498974/,2
9,"独立日 / Independence Day
                             / ID4星际终结者(台) / 天煞-地球反击战(港)",2022-06-13,1996-07-02(加拿大) / 1996-07-03(美国) / 威尔·史密斯 / 杰夫·高布伦 / 比尔·普尔曼 / 玛丽·麦克唐纳 / 贾德·赫希 / 罗伯特·劳吉亚 / 兰迪·奎德 / 玛格丽特·柯林 / 薇薇卡·福克斯 / 詹姆斯·瑞布霍恩 / 哈维·费斯特恩 / 亚当·鲍德温 / 布伦特·斯皮内 / 詹姆斯·杜瓦尔 / 莉萨·雅克布 / 杰赛普·安德鲁斯 / 罗斯·巴格利 / 比尔·斯米托洛维奇 / 梅·惠特曼 / 小哈里·康尼克 / 绮尔斯腾·瓦伦 / 约翰·斯托里 / 弗兰克·诺瓦克 / 德文·古梅尔萨尔 / 吉姆·皮多克 / 罗伯特·派恩 / 皮特·J.卢卡斯 / 小理察·斯贝特 / Anthony Crivello / 巴里·德尔·舍曼 / 克里斯托弗·康纳德 / 格雷格·科林斯 / 维恩·维尔德森 / 珍娜·马瑞·霍普 / 兰斯·霍华德 / Adam Tomei / 金伯莉·贝克 / 卡德罗莎·奥娜·卡罗尔 / 德里克·韦伯斯特 / 安德鲁·凯加 / 约翰·贝内特·派瑞 / 卡洛斯·拉卡马拉 / 丹·劳里亚 / 杰·阿克沃内 / 拉法埃尔·沙巴拉格 / 利兰·奥瑟 / Darla Rae / Jon Matthews / Daren Dochterman / 鲍比·霍希 / 加里·A·赫克 / 美国 / 罗兰·艾默里奇 / 145分钟 / 154分钟(特别版) / 独立日 / 动作 / 科幻 / 冒险 / 灾难 / Roland Emmerich / Dean Devlin / 英语,https://movie.douban.com/subject/1293013/,3
